S2 swimming 2017-05-18 14:56:28.477
Oz1238 Besck3 12.97 14
Oz1239 Bewck4 19.17 3
Oz1240 Berck5 13.86 9

R2 running 2017-05-21 13:56:17.683
Oz1237 Bedck2 13.68 31
Oz1238 Besck3 15.61 12
Oz1239 Bewck4 20.96 10
Oz1240 Berck5 10.9 25
Oz1241 Beqck6 15.65 17

R3 running 2017-05-21 13:56:19.361
Oz1237 Bedck2 14.82 39
Oz1238 Besck3 18.53 18
Oz1239 Bewck4 19.41 15
Oz1240 Berck5 20.09 28
Oz1241 Beqck6 12.74 37

R1 running 2017-05-21 14:00:53.174
Oz1236 Befck1 20.22 3
Oz1237 Bedck2 14.4 11
Oz1238 Besck3 16.75 8
Oz1239 Bewck4 16.37 10
Oz1240 Berck5 11.2 20

R1 running 2017-05-21 14:04:12.108
Oz1238 Besck3 10.04 15
Oz1239 Bewck4 11.7 12
Oz1240 Berck5 13.62 8
Oz1241 Beqck6 17.93 3

R1 running 2017-05-21 14:11:47.300
Oz3434 Mary 18.72 5
Oz0091 Hannah 18.61 7
Oz1235 Beckr 19.99 3
Oz1236 Befck1 15.21 18
Oz1241 Beqck6 12.43 30
Oz1239 Bewck7 17.38 7
Oz1240 Berck8 15.55 9

